,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
84,jaguariuna,br,-22.683333,-46.983333,70.92,94,76,5.97
85,san martin,ph,8.561111,124.771389,58.27,100,8,2.28
86,elmina,gh,5.0833333,-1.35,82.62,96,8,7.65
87,iqaluit,ca,63.733333,-68.5,1.4,64,20,5.82
88,tiguib,ph,9.8008,123.1352,68.26,85,20,3.18
89,carson city,us,39.1638889,-119.7663889,53.6,29,1,3.36
90,fort collins,us,40.5852778,-105.0838889,50.0,42,40,17.22
91,sovetsk,ru,57.5182,49.1222,18.4,88,92,8.32
92,yoshii,jp,36.25,138.983333,51.8,76,1,4.7
93,ban tak,th,17.04325,99.081278,67.9,88,0,2.17
94,kanniyakumari,in,8.076111,77.548333,81.85,100,32,2.28
95,flums,ch,47.092512,9.342604,44.6,87,90,11.41
96,kamenz,de,51.266667,14.1,37.4,69,0,6.93
97,nicolas bravo,mx,18.45,-88.916667,86.0,58,40,17.22
98,buhovo,bg,42.7666667,23.5666667,39.2,100,75,5.82
99,jarvenpaa,fi,60.466667,25.1,19.4,73,0,5.82
100,muleba,tz,-1.8397222,31.6544444,69.7,99,8,1.39
101,giugliano in campania,it,40.933333,14.2,51.8,100,40,2.51
102,pecos,us,31.4227778,-103.4927778,77.0,31,75,18.34
103,la malbaie,ca,47.65,-70.166667,40.09,60,32,5.75
104,ryuo,jp,35.65,138.5,36.4,88,0,3.18
105,gary,us,41.5933333,-87.3463889,51.8,87,90,11.41
106,wisla,pl,49.656294,18.859105,32.0,100,40,1.95
107,marinha grande,pt,39.747691,-8.932284,53.6,81,0,8.05
108,herentals,be,51.183333,4.833333,48.2,93,75,6.93
109,jamnagar,in,22.466667,70.066667,69.43,82,0,7.87
110,shirwal,in,18.133333,73.983333,64.48,97,0,1.72
111,kabare,cd,-2.468333,28.824167,56.79,100,44,1.61
112,tokonou,gn,9.65,-9.7833333,84.01,23,20,8.77
113,veydelevka,ru,50.1521,38.4492,33.79,99,80,9.66
114,mixtepec,mx,16.283333,-96.333333,93.2,41,20,11.41
115,diourbel,sn,14.6666667,-16.25,96.8,28,0,7.99
116,landsberg,de,48.05,10.866667,42.8,56,92,10.29
117,kharod,in,21.75,82.566667,66.37,46,0,3.29
118,brzi brod,rs,43.310278,21.966667,39.2,80,40,5.82
119,chuhuyiv,ua,49.835884,36.688028,33.8,100,90,6.71
120,guaimaro,cu,21.05,-77.35,78.8,47,75,21.92
121,broceni,lv,56.7,22.5333333,13.05,72,0,3.18
122,rye,us,43.0133333,-70.7713889,50.0,28,75,4.7
123,valea salciei,ro,45.5,26.816667,32.4,99,76,2.73
124,ternate,ph,14.2897,120.7168,75.2,100,20,1.12
125,adwa,et,14.163471,38.899237,52.2,49,0,3.96
126,minallo,ph,16.986849,121.853942,67.59,96,92,0.94
127,pirgos,gr,37.6833333,21.45,51.8,93,40,2.06
128,zile,tr,40.303056,35.886389,50.0,71,75,2.24
129,garden city,us,32.1141667,-81.1541667,69.8,68,90,6.93
130,zermatt,ch,46.021256,7.74912,41.0,100,90,1.16
131,bulalacao,ph,11.7435,120.1715,76.99,98,8,0.49
132,borsele,nl,51.423688,3.734448,46.4,100,90,8.05
133,kungur,ru,57.4368,56.9593,19.21,89,88,7.65
134,ilinden,mk,41.9961111,21.5822222,44.6,70,75,10.29
135,matsanga,cg,-1.9158333,12.6680556,69.39,100,88,2.17
136,indiana,us,40.6213889,-79.1527778,44.6,93,90,13.87
137,nowe miasto lubawskie,pl,53.422694,19.592512,32.17,76,44,6.76
138,ubate,co,5.309326,-73.815745,60.84,77,80,2.62
139,kimaya,ph,8.564722,124.839722,58.27,100,8,2.28
140,siedlce,pl,52.168215,22.277296,33.25,78,92,7.43
141,jaitaran,in,26.203056,73.936389,66.01,30,0,5.08
142,huaura,pe,-11.0647222,-77.6,72.09,53,20,2.62
143,moberly,us,39.4183333,-92.4380556,46.4,81,90,9.17
144,buqayq,sa,25.937103,49.677613,77.0,31,0,1.28
145,bajina basta,rs,43.970833,19.5675,30.2,92,0,6.93
146,schluchtern,de,50.35,9.516667,37.84,95,92,7.31
147,chhoti sadri,in,24.383333,74.7,66.46,33,0,5.97
148,harrisburg,us,37.7383333,-88.5405556,64.4,100,90,5.82
149,la labor,hn,14.4833333,-89.0,83.83,39,64,2.84
150,dumalaguing,ph,8.346944,125.055,58.27,100,8,2.28
151,krasnyy mayak,ru,56.048906,41.368455,19.35,85,68,14.25
152,tondod,ph,15.7182,120.968,64.8,100,44,1.72
153,pinsk,by,52.1213889,26.0727778,26.68,85,0,8.21
154,sunset,us,25.7055556,-80.3525,78.8,41,40,26.4
155,polis,cy,35.0366667,32.4263889,55.4,76,0,4.7
156,kilindoni,tz,-7.9166667,39.65,81.45,100,20,4.63
157,goiatuba,br,-18.016667,-49.366667,79.29,62,8,2.84
158,celaya,mx,20.516667,-100.816667,84.2,18,20,4.7
159,wiener neudorf,at,48.066667,16.316667,39.2,93,0,3.36
160,santander,es,43.464722,-3.804444,55.4,87,75,5.82
161,marathon,gr,38.15,23.9666667,57.2,58,0,5.19
162,pula,hr,44.8683333,13.8480556,46.4,80,0,5.82
163,shijonawate,jp,34.733333,135.683333,51.8,100,0,1.12
164,aurora,ph,16.99065,121.636643,67.59,96,92,0.94
165,bhandara,in,21.166667,79.65,73.4,33,0,3.36
166,vlakhokerasea,gr,37.3666667,22.3833333,51.8,87,40,1.83
167,compton,us,33.8958333,-118.2191667,75.2,15,1,5.82
168,mikhaylovka,ru,50.06,43.2379,38.2,92,80,12.8
169,espinosa,br,-14.933333,-42.833333,76.77,56,88,9.78
170,puerto palomas,mx,31.766667,-107.616667,60.8,18,75,10.29
171,algarrobo,co,10.1,-74.266667,91.66,60,24,6.64
172,khanion tou kokkini,gr,35.3333333,25.25,55.4,87,12,4.7
173,shushary,ru,59.809167,30.381667,19.4,73,0,4.47
174,bang bo,th,13.574278,100.835333,82.4,83,20,5.82
175,chinique,gt,15.044722,-91.025833,79.24,27,8,4.74
176,raufoss,no,60.716667,10.616667,11.56,74,0,2.17
177,putnam,us,41.915,-71.9094444,51.8,23,1,3.74
178,neumunster,de,54.066667,9.983333,42.8,86,75,6.93
179,ahvaz,ir,31.3203,48.6693,73.4,33,0,2.73
180,lambari,br,-21.966667,-45.35,70.92,75,48,2.62
181,san rafael,ph,7.763889,126.455833,77.44,100,8,12.8
182,zlate hory,cz,50.260746,17.395136,26.41,81,0,2.06
183,groningen,sr,5.8,-55.4666667,86.0,66,40,11.41
184,piro,in,25.333333,84.416667,69.12,44,0,3.4
185,pychas,ru,56.503318,52.440877,27.13,92,88,4.18
186,cape coral,us,26.5625,-81.9497222,82.4,34,20,16.11
187,nesher,il,32.765,35.05,67.45,94,12,5.41
188,florham park,us,40.7877778,-74.3886111,44.6,41,1,3.51
189,dumbravita,ro,45.796944,21.2425,39.2,93,75,2.24
190,richfield,us,44.8833333,-93.2827778,48.2,72,1,4.7
191,minnetonka,us,44.9133333,-93.5030556,48.2,65,1,4.7
192,aleksandro-nevskiy,ru,53.4751,40.2095,28.3,94,76,9.1
193,kawhia,nz,-38.066667,174.816667,67.14,98,32,10.45
194,fort morgan,us,40.2502778,-103.7994444,51.8,29,1,6.93
195,tuensang,in,26.283333,94.833333,47.74,92,0,1.61
196,jodhpur,in,26.286667,73.03,64.39,28,0,2.95
197,fereydunshahr,ir,32.940979,50.121,34.65,47,0,2.95
198,pietrosani,ro,43.716667,25.633333,41.0,100,0,1.12
199,gremyachye,ru,51.9742,38.8001,32.0,95,90,4.47
200,sant just desvern,es,41.383333,2.083333,57.2,76,20,5.82
201,bukit baru,my,2.2102,102.2886,75.2,94,75,2.62
202,mirante do paranapanema,br,-22.283333,-51.9,84.2,51,40,5.82
203,strendur,fo,62.1166667,-6.75,41.0,86,68,36.91
204,balclutha,nz,-46.233889,169.75,59.53,70,8,16.71
205,khorinsk,ru,52.1657,109.7726,12.37,72,0,2.39
206,mahayag,ph,9.9349,124.3164,75.2,83,90,3.36
207,kyshtym,ru,55.714,60.5528,25.65,80,12,10.22
208,unhos,pt,38.825887,-9.122307,64.4,72,0,10.29
209,deurne,nl,51.460672,5.799131,44.6,100,75,6.93
210,kiboga,ug,0.9161111,31.7741667,68.26,86,12,3.18
